Sample Date,Site,SARS-Cov-2 normalized viral signal,Avg SARS-Cov-2 normalized viral signal
18-Feb-21,Highland Creek,,57.201
18-Feb-21,Humber,35.426,18.934
19-Feb-21,Ashbridges Bay,,18.056
19-Feb-21,Highland Creek,,57.201
19-Feb-21,Humber,43.808,23.939
20-Feb-21,Ashbridges Bay,,18.056
20-Feb-21,Highland Creek,23.715,48.829
20-Feb-21,Humber,,23.939
21-Feb-21,Ashbridges Bay,12.37,13.355
21-Feb-21,Highland Creek,30.639,45.191
21-Feb-21,Humber,,23.939
22-Feb-21,Ashbridges Bay,32.839,17.503
22-Feb-21,Highland Creek,52.62,47.599
22-Feb-21,Humber,12.869,24.63
23-Feb-21,Ashbridges Bay,12.4,19.322
23-Feb-21,Highland Creek,70.517,52.864
23-Feb-21,Humber,18.241,25.205
24-Feb-21,Ashbridges Bay,16.175,19.98
24-Feb-21,Highland Creek,35.832,42.665
24-Feb-21,Humber,6.238,23.317
25-Feb-21,Ashbridges Bay,22.215,19.2
25-Feb-21,Highland Creek,,42.665
25-Feb-21,Humber,40.045,24.24
26-Feb-21,Ashbridges Bay,,19.2
26-Feb-21,Highland Creek,,42.665
26-Feb-21,Humber,31.633,21.805
27-Feb-21,Ashbridges Bay,,19.2
27-Feb-21,Highland Creek,41.739,46.269
27-Feb-21,Humber,,21.805
28-Feb-21,Ashbridges Bay,29.942,22.714
28-Feb-21,Highland Creek,17.993,43.74
28-Feb-21,Humber,,21.805
1-Mar-21,Ashbridges Bay,,20.183
1-Mar-21,Highland Creek,19.132,37.043
1-Mar-21,Humber,0.092,19.25
2-Mar-21,Ashbridges Bay,9.912,19.561
2-Mar-21,Highland Creek,23.779,27.695
2-Mar-21,Humber,3.485,16.299
3-Mar-21,Ashbridges Bay,9.766,17.959
3-Mar-21,Highland Creek,16.247,23.778
3-Mar-21,Humber,0.158,15.083
4-Mar-21,Ashbridges Bay,21.227,17.712
4-Mar-21,Highland Creek,,23.778
4-Mar-21,Humber,17.908,10.655
5-Mar-21,Ashbridges Bay,,17.712
5-Mar-21,Highland Creek,,23.778
5-Mar-21,Humber,94.763,23.281
6-Mar-21,Ashbridges Bay,,17.712
6-Mar-21,Highland Creek,28.616,21.153
6-Mar-21,Humber,,23.281
7-Mar-21,Ashbridges Bay,12.904,13.452
7-Mar-21,Highland Creek,21.641,21.883
7-Mar-21,Humber,,23.281
8-Mar-21,Ashbridges Bay,10.248,12.811
8-Mar-21,Highland Creek,31.258,24.308
8-Mar-21,Humber,7.176,24.698
9-Mar-21,Ashbridges Bay,15.78,13.985
9-Mar-21,Highland Creek,32.047,25.962
9-Mar-21,Humber,28.562,29.713
10-Mar-21,Ashbridges Bay,15.295,15.091
10-Mar-21,Highland Creek,52.958,33.304
10-Mar-21,Humber,9.009,31.484
11-Mar-21,Ashbridges Bay,27.417,16.329
11-Mar-21,Highland Creek,,33.304
11-Mar-21,Humber,12.112,30.325
12-Mar-21,Ashbridges Bay,,16.329
12-Mar-21,Highland Creek,,33.304
12-Mar-21,Humber,19.523,15.277
13-Mar-21,Ashbridges Bay,,16.329
13-Mar-21,Highland Creek,18.715,31.324
13-Mar-21,Humber,,15.277
14-Mar-21,Ashbridges Bay,15.63,16.874
14-Mar-21,Highland Creek,83.49,43.694
14-Mar-21,Humber,,15.277
15-Mar-21,Ashbridges Bay,20.357,18.896
15-Mar-21,Highland Creek,30.096,43.461
15-Mar-21,Humber,33.885,20.618
16-Mar-21,Ashbridges Bay,15.482,18.836
16-Mar-21,Highland Creek,31.648,43.382
16-Mar-21,Humber,29.256,20.757
17-Mar-21,Ashbridges Bay,13.534,18.484
17-Mar-21,Highland Creek,39.829,40.756
17-Mar-21,Humber,20.436,23.043
18-Mar-21,Ashbridges Bay,17.492,16.499
18-Mar-21,Highland Creek,,40.756
18-Mar-21,Humber,53.999,31.42
19-Mar-21,Ashbridges Bay,,16.499
19-Mar-21,Highland Creek,,40.756
19-Mar-21,Humber,83.292,44.174
20-Mar-21,Ashbridges Bay,,16.499
20-Mar-21,Highland Creek,177.119,72.437
20-Mar-21,Humber,,44.174
21-Mar-21,Ashbridges Bay,38.169,21.007
21-Mar-21,Highland Creek,64.401,68.619
21-Mar-21,Humber,,44.174
22-Mar-21,Ashbridges Bay,18.793,20.694
22-Mar-21,Highland Creek,81.291,78.858
22-Mar-21,Humber,11.244,39.646
23-Mar-21,Ashbridges Bay,60.556,29.709
23-Mar-21,Highland Creek,67.534,86.035
23-Mar-21,Humber,16.879,37.17
24-Mar-21,Ashbridges Bay,44.193,35.841
24-Mar-21,Highland Creek,,97.586
24-Mar-21,Humber,13.111,35.705
25-Mar-21,Ashbridges Bay,48.519,42.046
25-Mar-21,Highland Creek,249.336,127.936
25-Mar-21,Humber,35.768,32.059
26-Mar-21,Ashbridges Bay,,42.046
26-Mar-21,Highland Creek,,127.936
26-Mar-21,Humber,86.213,32.643
27-Mar-21,Ashbridges Bay,,42.046
27-Mar-21,Highland Creek,146.422,121.797
27-Mar-21,Humber,,32.643
28-Mar-21,Ashbridges Bay,83.187,51.05
28-Mar-21,Highland Creek,143.652,137.647
28-Mar-21,Humber,,32.643
29-Mar-21,Ashbridges Bay,61.673,59.626
29-Mar-21,Highland Creek,324.658,186.32
29-Mar-21,Humber,21.236,34.641
30-Mar-21,Ashbridges Bay,44.546,56.424
30-Mar-21,Highland Creek,81.757,189.165
30-Mar-21,Humber,45.233,40.312
31-Mar-21,Ashbridges Bay,39.451,55.475
31-Mar-21,Highland Creek,130.308,179.356
31-Mar-21,Humber,154.252,68.54
1-Apr-21,Ashbridges Bay,26.447,51.061
1-Apr-21,Highland Creek,,165.359
1-Apr-21,Humber,35.94,68.575
2-Apr-21,Ashbridges Bay,,51.061
2-Apr-21,Highland Creek,,165.359
2-Apr-21,Humber,26.15,56.562
3-Apr-21,Ashbridges Bay,,51.061
3-Apr-21,Highland Creek,92.76,154.627
3-Apr-21,Humber,,56.562
4-Apr-21,Ashbridges Bay,45.666,43.557
4-Apr-21,Highland Creek,154.435,156.784
4-Apr-21,Humber,,56.562
5-Apr-21,Ashbridges Bay,29.294,37.081
5-Apr-21,Highland Creek,207.264,133.305
5-Apr-21,Humber,11.338,54.582
6-Apr-21,Ashbridges Bay,51.77,38.525
6-Apr-21,Highland Creek,,146.192
6-Apr-21,Humber,23.829,50.302
7-Apr-21,Ashbridges Bay,,38.294
7-Apr-21,Highland Creek,328.562,195.755
7-Apr-21,Humber,,24.314
8-Apr-21,Ashbridges Bay,75.42,50.538
8-Apr-21,Highland Creek,,195.755
8-Apr-21,Humber,38.48,24.949
9-Apr-21,Ashbridges Bay,,50.538
9-Apr-21,Highland Creek,,195.755
9-Apr-21,Humber,85.991,39.91
10-Apr-21,Ashbridges Bay,,50.538
10-Apr-21,Highland Creek,142.421,208.17
10-Apr-21,Humber,,39.91
11-Apr-21,Ashbridges Bay,136.931,73.354
11-Apr-21,Highland Creek,,226.082
11-Apr-21,Humber,,39.91
12-Apr-21,Ashbridges Bay,,88.04
12-Apr-21,Highland Creek,,235.491
12-Apr-21,Humber,141.735,72.509
13-Apr-21,Ashbridges Bay,,106.176
13-Apr-21,Highland Creek,,235.491
13-Apr-21,Humber,27.333,73.385
14-Apr-21,Ashbridges Bay,44.05,85.467
14-Apr-21,Highland Creek,259.659,201.04
14-Apr-21,Humber,63.828,71.474
15-Apr-21,Ashbridges Bay,104.892,95.291
15-Apr-21,Highland Creek,,201.04
15-Apr-21,Humber,27.716,69.321
16-Apr-21,Ashbridges Bay,,95.291
16-Apr-21,Highland Creek,,201.04
16-Apr-21,Humber,49.45,62.013
17-Apr-21,Ashbridges Bay,,95.291
17-Apr-21,Highland Creek,,259.659
17-Apr-21,Humber,,62.013
18-Apr-21,Ashbridges Bay,,74.471
18-Apr-21,Highland Creek,,259.659
18-Apr-21,Humber,,62.013
19-Apr-21,Ashbridges Bay,,74.471
19-Apr-21,Highland Creek,,259.659
19-Apr-21,Humber,31.48,39.962
20-Apr-21,Ashbridges Bay,,74.471
20-Apr-21,Highland Creek,137.102,198.381
20-Apr-21,Humber,32.484,40.992
21-Apr-21,Ashbridges Bay,42.087,73.49
21-Apr-21,Highland Creek,102.913,120.007
21-Apr-21,Humber,75.555,43.337
22-Apr-21,Ashbridges Bay,46.236,44.161
22-Apr-21,Highland Creek,,120.007
22-Apr-21,Humber,24.901,42.774
23-Apr-21,Ashbridges Bay,,44.161
23-Apr-21,Highland Creek,,120.007
23-Apr-21,Humber,99.945,52.873
24-Apr-21,Ashbridges Bay,,44.161
24-Apr-21,Highland Creek,150.019,130.011
24-Apr-21,Humber,,52.873
25-Apr-21,Ashbridges Bay,54.319,47.547
25-Apr-21,Highland Creek,,130.011
25-Apr-21,Humber,,52.873
26-Apr-21,Ashbridges Bay,,47.547
26-Apr-21,Highland Creek,,130.011
26-Apr-21,Humber,49.781,56.533
27-Apr-21,Ashbridges Bay,,47.547
27-Apr-21,Highland Creek,123.739,125.557
27-Apr-21,Humber,133.106,76.657
28-Apr-21,Ashbridges Bay,77.529,59.361
28-Apr-21,Highland Creek,98.778,124.178
28-Apr-21,Humber,204.369,102.42
29-Apr-21,Ashbridges Bay,125.7,85.849
29-Apr-21,Highland Creek,,124.178
29-Apr-21,Humber,103.185,118.077
30-Apr-21,Ashbridges Bay,,85.849
30-Apr-21,Highland Creek,,124.178
30-Apr-21,Humber,355.531,169.194
1-May-21,Ashbridges Bay,,85.849
1-May-21,Highland Creek,103.683,108.733
1-May-21,Humber,,169.194
2-May-21,Ashbridges Bay,43.114,82.114
2-May-21,Highland Creek,,108.733
2-May-21,Humber,,169.194
3-May-21,Ashbridges Bay,,82.114
3-May-21,Highland Creek,123.224,112.356
3-May-21,Humber,308.707,220.98
4-May-21,Ashbridges Bay,39.169,71.378
4-May-21,Highland Creek,,108.562
4-May-21,Humber,117.825,217.924
5-May-21,Ashbridges Bay,,69.328
5-May-21,Highland Creek,,113.453
5-May-21,Humber,239.928,225.035
6-May-21,Ashbridges Bay,52.379,44.887
6-May-21,Highland Creek,77.312,101.406
6-May-21,Humber,54.582,215.315
7-May-21,Ashbridges Bay,,44.887
7-May-21,Highland Creek,,101.406
7-May-21,Humber,30.358,150.28
8-May-21,Ashbridges Bay,,44.887
8-May-21,Highland Creek,92.525,97.687
8-May-21,Humber,,150.28
9-May-21,Ashbridges Bay,41.005,44.184
9-May-21,Highland Creek,,97.687
9-May-21,Humber,,150.28
10-May-21,Ashbridges Bay,,44.184
10-May-21,Highland Creek,87.764,85.867
10-May-21,Humber,74.711,103.481
11-May-21,Ashbridges Bay,89.986,61.123
11-May-21,Highland Creek,,85.867
11-May-21,Humber,20.557,84.027
12-May-21,Ashbridges Bay,,61.123
12-May-21,Highland Creek,75.514,83.279
12-May-21,Humber,63.023,48.646
13-May-21,Ashbridges Bay,38.364,56.452
13-May-21,Highland Creek,,85.268
13-May-21,Humber,53.022,48.334
14-May-21,Ashbridges Bay,,56.452
14-May-21,Highland Creek,,85.268
14-May-21,Humber,45.245,51.312
15-May-21,Ashbridges Bay,,56.452
15-May-21,Highland Creek,84.168,82.482
15-May-21,Humber,,51.312
16-May-21,Ashbridges Bay,25.067,51.139
16-May-21,Highland Creek,,82.482
16-May-21,Humber,,51.312
17-May-21,Ashbridges Bay,,51.139
17-May-21,Highland Creek,100.514,86.732
17-May-21,Humber,115.558,59.481
18-May-21,Ashbridges Bay,43.412,35.614
18-May-21,Highland Creek,58.909,79.776
18-May-21,Humber,51.489,65.667
19-May-21,Ashbridges Bay,22.445,32.322
19-May-21,Highland Creek,,81.197
19-May-21,Humber,89.466,70.956
20-May-21,Ashbridges Bay,,30.308
20-May-21,Highland Creek,,81.197
20-May-21,Humber,51.472,70.646
21-May-21,Ashbridges Bay,,30.308
21-May-21,Highland Creek,,81.197
21-May-21,Humber,24.208,66.439
22-May-21,Ashbridges Bay,,30.308
22-May-21,Highland Creek,,79.711
